Run,Frame,SSIM,PSNR,Pixel Dist,Pixel Dist To Center,Total pixels,FN,FP
3500,0,0.9756,31.80,9.00,31.00,14587.00,14.00,182.00
3500,1,0.9850,34.15,8.00,4.00,17528.00,8.00,181.00
3500,2,0.9899,34.58,5.00,45.00,19326.00,11.00,162.00
3500,3,0.9927,37.01,1.00,95.00,24005.00,14.00,148.00
3500,4,0.9824,33.80,2.00,157.00,28896.00,39.00,147.00
3500,5,0.9650,30.78,5.00,210.00,37477.00,36.00,281.00
3500,6,0.9486,29.75,6.00,310.00,46873.00,225.00,648.00
3500,7,0.7699,20.17,11.00,365.00,18977.00,644.00,550.00
3501,0,0.9556,30.76,3.00,184.00,20125.00,141.00,247.00
3501,1,0.9608,31.32,0.00,167.00,21380.00,141.00,278.00
3501,2,0.9604,31.56,1.00,112.00,20020.00,131.00,293.00
3501,3,0.9812,34.28,2.00,26.00,21407.00,111.00,152.00
3501,4,0.9467,30.57,11.00,160.00,19072.00,201.00,214.00
3501,6,0.7063,21.71,17.00,364.00,13180.00,220.00,657.00
3502,0,0.9722,31.01,4.00,167.00,14115.00,38.00,138.00
3502,1,0.9761,31.93,4.00,168.00,13982.00,29.00,136.00
3502,2,0.9768,31.86,4.00,167.00,13951.00,54.00,139.00
3502,3,0.9764,32.08,3.00,164.00,14181.00,40.00,149.00
3502,4,0.9769,32.24,3.00,164.00,14212.00,36.00,132.00
3502,5,0.9783,32.42,4.00,164.00,14204.00,46.00,139.00
3502,6,0.9785,32.51,4.00,163.00,14180.00,37.00,108.00
3502,7,0.9776,32.18,3.00,161.00,14296.00,40.00,120.00
3502,8,0.9663,31.58,3.00,155.00,16171.00,57.00,142.00
3502,9,0.9749,32.26,1.00,139.00,16555.00,71.00,170.00
3503,0,0.9287,28.59,17.00,178.00,35639.00,14.00,374.00
3503,2,0.9198,27.19,15.00,177.00,35448.00,43.00,429.00
3503,3,0.9174,26.74,15.00,178.00,35365.00,44.00,412.00
3503,4,0.9229,27.03,16.00,181.00,35203.00,56.00,438.00
3503,5,0.9264,28.47,16.00,187.00,34859.00,50.00,395.00
3503,6,0.9433,29.35,14.00,176.00,33473.00,33.00,289.00
3503,7,0.9527,30.13,14.00,147.00,31470.00,29.00,292.00
3503,8,0.9722,32.19,12.00,107.00,29001.00,16.00,206.00
3503,9,0.9763,32.58,8.00,69.00,24906.00,3.00,169.00
3504,0,0.9133,23.60,0.00,43.00,16462.00,263.00,297.00
3504,1,0.9163,24.03,1.00,43.00,16620.00,314.00,346.00
3504,2,0.9163,24.26,1.00,42.00,16631.00,337.00,338.00
3504,3,0.9110,23.67,0.00,41.00,16566.00,366.00,343.00
3504,4,0.9174,23.49,8.00,27.00,15854.00,219.00,374.00
3504,5,0.9475,27.80,13.00,18.00,14438.00,66.00,305.00
3504,6,0.9446,27.82,24.00,28.00,12310.00,50.00,245.00
3504,8,0.9390,25.37,9.00,18.00,14538.00,75.00,203.00
3504,9,0.9020,23.04,1.00,18.00,14433.00,107.00,566.00
